date,Total,sympinfect,Scenario,hosp,Total.Fraser,Total.Coastal,Total.Island,Total.Interior,Total.Northern
2023-01-04,5460.232234769259,3076.482772139014,worst case,38.58709022391414,1320.7842675946135,722.4487338437501,802.0105082557614,1747.3030050548182,867.6857200203154
2023-01-05,5283.081123082597,2976.66973860193,worst case,37.33517535362862,1251.0833147915378,702.9377287078278,792.3105207342045,1690.4354029581114,846.3141558909153
2023-01-06,5118.27621995703,2883.812983901775,worst case,36.170510300418044,1220.1751238096874,676.9772509876439,776.0081927805086,1616.8488966521275,828.2667557270628
2023-01-07,4965.006112190509,2797.4553299131776,worst case,35.08736086231256,1202.7709226998054,636.4824267036494,755.3447880340952,1571.5173626113972,798.8906121415622
2023-01-08,4822.526624376428,2717.1774825989173,worst case,34.080468002274465,1120.8055169325903,617.3291128191574,748.1457087496984,1543.403871309049,792.8424145659328
2023-01-09,4690.154428289576,2642.594431318019,worst case,33.14500268616289,1056.9267138806727,610.3280148592959,738.3741483765759,1504.937049617322,779.5885015557093
2023-01-10,4567.262813217749,2573.353065685007,worst case,32.27653599195469,1038.635884832922,589.1581074976149,721.5182160724323,1465.1713475491333,752.7792572656464
2023-01-11,4453.277111328087,2509.129598063847,worst case,31.47100678111913,1007.1518434837915,547.6442148098408,709.1515267547092,1453.9507604873381,735.3787657924073
2023-01-12,4347.6696998539255,2449.6267476280022,worst case,30.72468637941195,962.4268790329156,527.108883525299,696.5747408131658,1453.0081052346482,708.5510912478969
2023-01-13,4249.957255522747,2394.5721934106455,worst case,30.03415917410422,933.1436772122463,512.0550667798885,689.813212900702,1431.705079117487,683.2402195124231
2023-01-14,4159.697996305404,2343.7170202112366,worst case,29.396303121611528,927.8957502533189,488.16064106479223,682.6887664223299,1388.7387774153992,672.2140611495631
2023-01-15,4076.4857470887437,2296.8323749912315,worst case,28.80824781000558,914.4793388760046,481.06194379637026,657.0262384467775,1359.9321102941094,663.9861156754819
2023-01-16,3999.947940299938,2253.708340357013,worst case,28.267360329562184,867.8195078806779,477.798030094352,654.6738882564675,1350.7764800901532,648.880033978288
2023-01-17,3929.7491517623066,2214.155926782762,worst case,27.77127026041414,842.5250446159121,465.67692284594557,657.9221378434098,1345.5771485787443,618.0478978782949
2023-01-18,3865.5794824789173,2178.000526507457,worst case,27.317787567405293,873.7488385022273,445.72414360542615,632.5931300240547,1329.2570143521884,584.2563559950199
2023-01-19,3807.156594487629,2145.083060605679,worst case,26.904916987339803,854.6088548922245,429.2518896248612,623.709080165633,1309.6012043516578,589.9855654532522
