date,CAN,AB,BC,MB,NB,NL,North,NS,ON,PEI,QC,SK
16 Jun 2022,17218.53495630225,1445.030645865503,1704.931381937485,496.9934845191608,277.0091052258338,294.9020441996989,134.2150818259679,1479.319231613516,5347.90640520336,94.56857142857143,5854.543461438752,89.11554304439616
15 Jun 2022,17089.672910291294,1553.509249789625,1747.1769944691757,523.7355105453905,281.8841790799569,362.4395383641864,137.1001101844975,1516.5098664017678,5105.21987270142,93,5672.018223348974,97.07936540630067
14 Jun 2022,16971.493469971076,1606.6819779651303,1751.074080512247,510.3670191731438,284.7685062417938,360.31900224991483,140.78750695291234,1530.1329552495688,5077.0311164417835,110.74280537507401,5489.492985259198,110.09551455031304
13 Jun 2022,16863.989803650697,1660.9460979654273,1754.6324598446163,496.92838839527735,287.6345309090268,358.10484393346394,144.77978451403885,1543.6206317953336,5047.530384235505,138.79561579248877,5306.967747169421,124.04931909609817
12 Jun 2022,16759.94122323353,1716.2401823220275,1757.787499238225,483.4143773095835,290.47085153712624,355.7856252987074,149.07860472514375,1556.9121846225023,5016.555235454396,170.30029791861494,5124.442509079645,138.95385572756058
11 Jun 2022,16781.774904498627,1785.5491677612056,1773.4409560012123,473.28223758241916,295.4256860306721,355.95288636742583,154.81677479841122,1581.5083394408932,5020.657549602412,206.83754029846105,4978.343996481481,155.95977013403265
10 Jun 2022,16814.151876885862,1857.5818167594946,1789.557964535448,463.1187471559642,300.52924748185137,356.1477716082157,161.021474780923,1606.8351285274887,5025.180634579109,247.65768322332724,4832.2454838833155,174.2759243507249
9 Jun 2022,16857.496397011102,1932.4505263957249,1806.1458704510587,452.9213186172944,305.78592312561796,356.3690687256444,167.7146068122643,1632.9130822505158,5030.108587830962,292.9747824008728,4686.146971285152,193.9656591159951
8 Jun 2022,17022.519393878963,2023.378448731916,1835.0986494427366,445.5737044379013,313.22911783044714,358.9404942364698,176.0596115330141,1670.5842331782446,5068.253607591512,345.2508771009601,4569.652741255455,216.49790854030485
7 Jun 2022,17567.229510506655,2465.420608016785,1895.614553461956,465.8974828513753,335.86753263001594,341.7811971461034,154.95329863453983,1679.92763449694,5257.619934912536,311.35695801433013,4451.629292386669,207.16101795540476
6 Jun 2022,18181.748729540428,2963.508516421261,1958.5378597899442,487.16740075292705,359.86560128338164,324.615194238262,135.3786373332282,1689.4355082789436,5454.973092382988,278.42503563073006,4332.046314673724,197.7955687550382
5 Jun 2022,18870.52559960055,3521.3326608154916,2023.9608795958188,509.42664274583115,385.29639472455426,307.45778501218,117.47317669840895,1699.09168822092,5660.643280789666,246.56261449516632,4210.872691768305,188.40778473420988
4 Jun 2022,19346.704103419404,4081.2958901151537,2060.9179296569328,524.8104832693895,406.11577958658756,286.0162045043177,99.88038753544802,1683.5064282611208,5787.742902106796,212.68204532982708,4027.388682538664,176.34737051516214
3 Jun 2022,19858.09292919554,4683.0468733468515,2095.988380135312,539.9125934143092,427.17211945802205,264.8157741275641,84.58516850215206,1665.7698310456992,5910.2298177630155,180.77531014532,3841.4311400637434,164.36592119355004
2 Jun 2022,20399.684581340483,5324.3290012924535,2128.571510319235,554.5588436619504,448.3026387367773,243.89832101465666,71.69505190632165,1645.5737742711278,6026.332412221058,150.99063007435703,3652.949706653946,152.48269118859693
1 Jun 2022,20995.463079211786,6010.512314107502,2161.114336247186,569.3710949069526,469.9900491676884,223.6387637996763,61.39766118571136,1624.9464071997327,6142.915841431709,123.66176882138534,3466.988563995686,140.9262783485591
31 May 2022,20719.516878223156,5592.670328052398,2232.5851603924716,610.6015981959938,465.09089291271823,219.95435666398646,64.05102200809172,1573.0222680657719,6428.006738926215,107.78139678341826,3277.909097562589,147.84401865950838
30 May 2022,20397.97433388141,5177.620511376645,2294.3465224422716,649.6986243935597,458.47158619544774,215.50955600960475,66.59806649949117,1516.9222352982606,6686.09851580047,92.92864512543552,3085.6322088835536,154.1478618566728
29 May 2022,20019.480828884974,4765.840438252596,2344.1619198270987,685.6939363657683,449.9214864039734,210.21948359030068,68.95051609095123,1456.2907776034212,6909.533480753898,79.13679382526988,2890.076101490976,159.65589468072153
28 May 2022,24637.053081050424,5485.905692240601,2995.4138561212385,903.1842984119693,552.8962525629315,256.79374911695425,89.38534722801961,1750.739459651558,8924.66628814228,83.63368736819608,3387.7822726587474,206.6521775479231
27 May 2022,29787.177790423193,6186.993576446018,3751.0400787247477,1163.6503099393317,666.6383529037151,307.7923453518082,113.65977599644395,2065.095469282757,11290.408786044274,85.82718570775553,3894.1239333044423,261.947976721899
26 May 2022,35541.976985037654,6867.321302770529,4624.7582079426375,1473.5396665569995,792.2598617915302,363.6501276622349,142.3870432759639,2401.012019424235,14055.243028611423,85.77617929273298,4409.327796321579,326.70175138778706
25 May 2022,41495.736201819185,7437.624396381069,5566.675731344777,1818.8154039511785,920.1927916707422,419.91854452888947,174.2197015603155,2728.2656288643598,17073.514231555648,82.60042438341179,4876.353378352542,397.555969226252
24 May 2022,46598.90208145158,8367.808864056511,6065.141250121732,2063.017912709826,1060.5587477810145,433.1117720916978,188.68206316472458,3027.576746077758,19443.446765803095,172.42072642918237,5340.6936772511,436.44355596492863
23 May 2022,51910.97376618643,9331.865289148845,6555.704119816694,2318.6703635798326,1210.111977974269,442.73332540562666,203.47998490235676,3331.863687848554,21936.032747637164,302.8635778695525,5802.37178621125,475.2769057922795
22 May 2022,57436.13144126042,10329.329698533182,7038.563442912288,2585.6798616812403,1368.8662597469736,449.07959406707164,218.76950248057634,3640.995783334959,24550.588577896968,478.795166789963,6261.410534384715,514.053019432485
21 May 2022,60553.234212494,10887.781269309158,7201.741562972251,2744.9615336590045,1472.975038182402,433.6337869288413,224.94472728263108,3790.5382210047887,26152.70122069923,675.4169334091587,6438.736021683415,529.8038973631247
20 May 2022,63773.63614941744,11458.437721418644,7362.441228471176,2908.6227224235354,1580.9488721449427,417.8872838105432,231.88036434669894,3941.6263962470066,27802.965386883952,908.2518991832818,6615.053522059046,545.520752428618
19 May 2022,67097.30295046938,12041.076190233216,7520.72315722161,3076.601025582772,1692.7550634530694,401.9091021660231,239.60454475279386,4094.2138124991543,29500.77448127715,1178.0712123846192,6790.371605836675,561.2027550623112
18 May 2022,70143.90618146842,12567.360132355643,7635.263922090169,3231.3195703072342,1798.610269506979,383.68438903936294,246.80495226924464,4225.354048114069,31077.070782892497,1477.5441341540477,6927.154460375333,573.7395203638451
